,Candidate,Elected,Party,Votes,Ward
195,Sandy LESLIE,0,SLD,143.0,Troup
196,Hamish PARTRIDGE,1,Ind,513.0,Troup
197,Ray STEPHEN,0,Lab,136.0,Troup
198,Ricky TAYLOR,0,SNP,393.0,Troup
199,Sandy DUNCAN,1,Ind,544.0,Turriff and District
200,Alastair FORSYTH,1,SNP,1260.0,Turriff and District
201,Mike RAWLINS,0,Ind,324.0,Turriff and District
202,Anne ROBERTSON,1,SLD,981.0,Turriff and District
203,Iain TAYLOR,1,Con,1854.0,Turriff and District
204,Victoria HARPER,1,SNP,840.0,West Garioch
205,Sebastian LESLIE,1,Con,1809.0,West Garioch
206,Elaine MITCHELL,0,SNP,439.0,West Garioch
207,Richard OPENSHAW,0,Grn,306.0,West Garioch
208,Hazel SMITH,1,SLD,666.0,West Garioch
209,Peter YOUNG,0,Lab,197.0,West Garioch
210,David AITCHISON,1,SNP,877.0,Westhill and District
211,Heather COULL,0,SNP,557.0,Westhill and District
212,Lindsey KIRKHILL,0,Lab,266.0,Westhill and District
213,Ron MCKAIL,1,Con,2019.0,Westhill and District
214,Alistair MCKELVIE,1,Con,828.0,Westhill and District
215,Derek SCOTT,0,SLP,79.0,Westhill and District
216,Iris WALKER,1,SLD,1370.0,Westhill and District
217,Brenda DURNO,1,SNP,786.0,Arbroath East and Lunan
218,John RUDDY,0,Lab,257.0,Arbroath East and Lunan
219,KEVIN SMITH,0,Ind,254.0,Arbroath East and Lunan
220,MARK SMITH,0,SLD,56.0,Arbroath East and Lunan
221,Lois SPEED,1,Ind,763.0,Arbroath East and Lunan
222,Derek WANN,1,Con,852.0,Arbroath East and Lunan
223,Ian WATSON,0,Ind,72.0,Arbroath East and Lunan
224,Sheena WELSH,0,SNP,446.0,Arbroath East and Lunan
225,David FAIRWEATHER,1,Ind,1465.0,Arbroath West-Letham and Friockheim
226,Alex KING,1,SNP,1206.0,Arbroath West-Letham and Friockheim
227,David LUMGAIR,1,Con,2585.0,Arbroath West-Letham and Friockheim
228,Richard MOORE,1,SLD,326.0,Arbroath West-Letham and Friockheim
229,Donald MORRISON,0,SNP,526.0,Arbroath West-Letham and Friockheim
230,Alison ANDREWS,0,SLD,129.0,Brechin and Edzell
231,Kenny BRAES,1,SNP,762.0,Brechin and Edzell
232,Bob MYLES,1,Ind,792.0,Brechin and Edzell
233,Gavin NICOL,1,Con,1281.0,Brechin and Edzell
234,Jill SCOTT,0,Ind,736.0,Brechin and Edzell
235,Marjory SMITH,0,Lab,203.0,Brechin and Edzell
236,Paul Ambrose WRIGHT,0,SNP,308.0,Brechin and Edzell
237,Bill BOWLES,0,Ind,569.0,Carnoustie and District
238,Brian David BOYD,1,Ind,918.0,Carnoustie and District
239,David CHEAPE,1,Ind,909.0,Carnoustie and District
240,Mark James MCDONALD,1,SNP,1359.0,Carnoustie and District
241,Joanne MCFADDEN,0,Lab,351.0,Carnoustie and District
242,Beth MORRISON,0,SLD,70.0,Carnoustie and District
243,Terry O'HALLORAN,0,Con,899.0,Carnoustie and District
244,Glen BARCLAY,0,SLD,114.0,Forfar and District
245,Colin BROWN,1,Ind,1086.0,Forfar and District
246,Braden DAVY,1,Con,1333.0,Forfar and District
247,Lynne DEVINE,1,SNP,974.0,Forfar and District
248,Ed MCADAM,0,Lab,198.0,Forfar and District
249,Ian MCLAREN,1,Ind,808.0,Forfar and District
250,Glennis MIDDLETON,0,SNP,578.0,Forfar and District
251,Ian WHYTE,0,Ind,432.0,Forfar and District
252,Julie BELL,1,SNP,1240.0,Kirriemuir and Dean
253,Jeanette GAUL,0,SNP,413.0,Kirriemuir and Dean
254,Angus MACMILLAN DOUGLAS,1,Con,1118.0,Kirriemuir and Dean
255,Liz PETRIE,0,SLD,206.0,Kirriemuir and Dean
256,Ronnie PROCTOR,1,Con,1397.0,Kirriemuir and Dean
257,Gordon WATSON,0,Lab,203.0,Kirriemuir and Dean
258,Craig FOTHERINGHAM,1,Con,2901.0,Monifieth and Sidlaw
259,Sheila HANDS,1,SNP,1727.0,Monifieth and Sidlaw
260,Ben LAWRIE,1,SLD,794.0,Monifieth and Sidlaw
261,Ray STRACHAN,0,Lab,643.0,Monifieth and Sidlaw
262,Beth WHITESIDE,1,SNP,620.0,Monifieth and Sidlaw
263,Bill DUFF,1,SNP,1142.0,Montrose and District
264,Pamela RUDDY,0,Lab,323.0,Montrose and District
265,Mark SALMOND,1,Ind,687.0,Montrose and District
266,Avril SIMPSON,0,SLD,178.0,Montrose and District
267,Tommy STEWART,1,Ind,653.0,Montrose and District
