,Candidate,Elected,Party,Votes,Ward
1265,Martha WARDROP,1,Grn,1718.0,Hillhead
1266,Caroline WELSH,0,SNP,983.0,Hillhead
1267,Susan AITKEN,1,SNP,2874.0,Langside
1268,Jane COLLINS,0,UKIP,106.0,Langside
1269,Archie GRAHAM,1,Lab,2089.0,Langside
1270,Thomas HADDOW,0,Con,1459.0,Langside
1271,Kevin LEWSEY,0,SLD,350.0,Langside
1272,Steven LIVINGSTON,0,Lab,737.0,Langside
1273,Anna RICHARDSON,1,SNP,1760.0,Langside
1274,Ronnie STEVENSON,0,TUSC,97.0,Langside
1275,Tanya WISELY,1,Grn,1277.0,Langside
1276,Euan BLOCKLEY,1,Con,1395.0,Linn
1277,Max BRODIE,0,Sol,67.0,Linn
1278,Margot CLARK,0,SLD,676.0,Linn
1279,John COWAN,0,UKIP,58.0,Linn
1280,Malcolm CUNNING,1,Lab,1348.0,Linn
1281,Alan DIGNEY,0,Grn,288.0,Linn
1282,Glenn ELDER,1,SNP,1646.0,Linn
1283,Paul LEINSTER,0,SNP,448.0,Linn
1284,Cathy MILLIGAN,0,Ind,744.0,Linn
1285,Margaret MORGAN,1,SNP,1032.0,Linn
1286,Bobby POLLOCK,0,Ind,69.0,Linn
1287,Alan STEWART,0,Lab,1029.0,Linn
1288,Jane BURGE,0,Con,606.0,Maryhill
1289,Alex DINGWALL,0,SLD,255.0,Maryhill
1290,Michael HERRIGAN,0,Grn,505.0,Maryhill
1291,John LETFORD,1,SNP,1418.0,Maryhill
1292,Jane MORGAN,1,Lab,1210.0,Maryhill
1293,Mohammed RAZAQ,0,Lab,421.0,Maryhill
1294,Franny SCALLY,1,SNP,1315.0,Maryhill
1295,Rebecca COLEMAN-BENNETT,0,SLD,259.0,Newlands-Auldburn
1296,Stephen CURRAN,1,Lab,1704.0,Newlands-Auldburn
1297,Josephine DOCHERTY,1,SNP,1879.0,Newlands-Auldburn
1298,Charles GAY,0,Grn,422.0,Newlands-Auldburn
1299,Fay GRAHAM,0,Lab,371.0,Newlands-Auldburn
1300,Kyle THORNTON,1,Con,1596.0,Newlands-Auldburn
1301,Gavin WILLIAMSON,0,SNP,1032.0,Newlands-Auldburn
1302,Gerry BOYLE,0,Ind,427.0,North East
1303,Maureen BURKE,1,Lab,1176.0,North East
1304,Stephen DOCHERTY,0,Lab,342.0,North East
1305,Frances HOWELL,0,Con,524.0,North East
1306,Ruairi KELLY,1,SNP,971.0,North East
1307,Jenny KIERNAN,0,Sol,34.0,North East
1308,Mandy MORGAN,1,SNP,739.0,North East
1309,Carole URE,0,Grn,102.0,North East
1310,Martin BARTOS,1,Grn,1727.0,Partick East-Kelvindale
1311,Tony CURTIS,1,Con,2336.0,Partick East-Kelvindale
1312,Carole FORD,0,SLD,889.0,Partick East-Kelvindale
1313,Kenny MCLEAN,1,SNP,2366.0,Partick East-Kelvindale
1314,Tom MUIRHEAD,0,Ind,109.0,Partick East-Kelvindale
1315,Martin RHODES,1,Lab,1848.0,Partick East-Kelvindale
1316,Kaukab STEWART,0,SNP,1241.0,Partick East-Kelvindale
1317,Iain CAMERON,0,UKIP,98.0,Pollokshields
1318,Ewan HOYLE,0,SLD,302.0,Pollokshields
1319,Norman MACLEOD,1,SNP,2504.0,Pollokshields
1320,David MEIKLE,1,Con,2370.0,Pollokshields
1321,Jon MOLYNEUX,1,Grn,1399.0,Pollokshields
1322,Hanif RAJA,1,Lab,1552.0,Pollokshields
1323,Nighet RIAZ,0,SNP,1222.0,Pollokshields
1324,Fariha THOMAS,0,Lab,841.0,Pollokshields
1325,Kevin CAMPBELL,0,Grn,222.0,Shettleston
1326,Jamie COCOZZA,0,TUSC,60.0,Shettleston
1327,Paul CORRAN,0,Ind,41.0,Shettleston
1328,Laura DOHERTY,1,SNP,1356.0,Shettleston
1329,Michelle FERNS,1,SNP,773.0,Shettleston
1330,ALEX KERR,0,SNP,724.0,Shettleston
1331,THOMAS KERR,1,Con,1368.0,Shettleston
1332,Steven MARSHALL,0,SDPS,51.0,Shettleston
1333,Frank MCAVEETY,1,Lab,1902.0,Shettleston
1334,Timothy POLLARD,0,SLD,82.0,Shettleston
1335,Jamie ROBERTSON,0,UKIP,105.0,Shettleston
1336,Anne SIMPSON,0,Lab,872.0,Shettleston
1337,Alexander BELIC,1,SNP,1244.0,Southside Central
1338,Lorraine DUNCAN,0,UKIP,115.0,Southside Central
1339,Mark FIDDY,0,Ind,59.0,Southside Central
1340,Gordon FRASER,0,Con,486.0,Southside Central
1341,Qasim HANIF,0,SNP,620.0,Southside Central
1342,Mhairi HUNTER,1,SNP,1287.0,Southside Central
1343,Cass MACGREGOR,0,Grn,819.0,Southside Central
1344,James SCANLON,1,Lab,1190.0,Southside Central
1345,Soryia SIDDIQUE,1,Lab,1331.0,Southside Central
1346,Chris YOUNG,0,SLD,104.0,Southside Central
1347,Graham CAMPBELL,1,SNP,1323.0,Springburn-Robroyston
1348,Christina CANNON,1,SNP,1013.0,Springburn-Robroyston
1349,Anthony CARROLL,0,Grn,226.0,Springburn-Robroyston
1350,Robb MACLEAN,0,UKIP,105.0,Springburn-Robroyston
1351,Paul MCCABE,0,SNP,494.0,Springburn-Robroyston
1352,Martin MCELROY,1,Lab,2080.0,Springburn-Robroyston
1353,Euan MCHARDY,0,Con,681.0,Springburn-Robroyston
1354,Aileen MCKENZIE,1,Lab,529.0,Springburn-Robroyston
1355,Dave SEMPLE,0,TUSC,36.0,Springburn-Robroyston
1356,Robert Alexander SYKES,0,SLD,85.0,Springburn-Robroyston
1357,Ade AIBINU,1,Con,2018.0,Victoria Park
1358,Feargal DALTON,1,SNP,2248.0,Victoria Park
1359,Allan FAULDS,0,Grn,1150.0,Victoria Park
1360,Matt MCGRATH,0,TUSC,52.0,Victoria Park
1361,Maggie MCTERNAN,1,Lab,1701.0,Victoria Park
1362,Deirdre PARKINSON,0,SNP,856.0,Victoria Park
1363,James Douglas SPEIRS,0,SLD,492.0,Victoria Park
1364,Chris BALLANCE,0,Grn,388.0,Aird and Loch Ness
1365,Helen CARMICHAEL,1,Ind,625.0,Aird and Loch Ness
1366,George CRUICKSHANK,1,Con,998.0,Aird and Loch Ness
1367,Margaret DAVIDSON,1,Ind,1405.0,Aird and Loch Ness
1368,Jean DAVIS,0,SLD,515.0,Aird and Loch Ness
1369,Matt FRIESS,0,SNP,409.0,Aird and Loch Ness
1370,Emma KNOX,1,SNP,719.0,Aird and Loch Ness
1371,John BRUCE,1,Con,1266.0,Badenoch and Strathspey
1372,Muriel COCKBURN,1,SNP,992.0,Badenoch and Strathspey
1373,Stewart DICK,0,Ind,336.0,Badenoch and Strathspey
1374,Les DURANCE,0,UKIP,169.0,Badenoch and Strathspey
1375,Pippa HADLEY,1,Grn,754.0,Badenoch and Strathspey
1376,Bill LOBBAN,1,Ind,1189.0,Badenoch and Strathspey
1377,Donald Gunn MACDONALD,0,Ind,147.0,Badenoch and Strathspey
1378,Gregor RIMELL,0,SLD,516.0,Badenoch and Strathspey
1379,Gordon ADAM,1,SLD,919.0,Black Isle
1380,Jennifer BARCLAY,1,Ind,742.0,Black Isle
1381,Craig FRASER,1,SNP,1234.0,Black Isle
1382,Michael MACMILLAN,0,Lab,203.0,Black Isle
1383,BEV SMITH,0,Ind,246.0,Black Isle
1384,RAINIE SMITH,0,Con,859.0,Black Isle
1385,Vikki TRELFER,0,Grn,388.0,Black Isle
1386,Susan CARSTAIRS,0,Lab,181.0,Caol and Mallaig
1387,Allan HENDERSON,1,Ind,917.0,Caol and Mallaig
1388,Billy MACLACHLAN,1,SNP,778.0,Caol and Mallaig
1389,Denis RIXSON,0,SLD,304.0,Caol and Mallaig
1390,Liz SAGGERS,0,Con,265.0,Caol and Mallaig
1391,Liam SIMMONDS,0,Ind,30.0,Caol and Mallaig
1392,Ben THOMPSON,1,Ind,767.0,Caol and Mallaig
1393,Bill CURRAN,0,Lab,155.0,Cromarty Firth
1394,Mike FINLAYSON,1,Ind,405.0,Cromarty Firth
1395,Sheila FLETCHER,0,Ind,108.0,Cromarty Firth
1396,Mary MACDONALD,0,SLD,278.0,Cromarty Firth
1397,Pauline MUNRO,1,SNP,801.0,Cromarty Firth
1398,Martin RATTRAY,0,Ind,322.0,Cromarty Firth
1399,IAN SMITH,0,Con,346.0,Cromarty Firth
1400,MAXINE SMITH,1,SNP,579.0,Cromarty Firth
1401,Carolyn WILSON,1,Ind,1108.0,Cromarty Firth
1402,Roddy BALFOUR,1,Ind,763.0,Culloden and Ardersier
1403,Glynis CAMPBELL-SINCLAIR,1,SNP,669.0,Culloden and Ardersier
1404,Raine CULLEN,0,Con,685.0,Culloden and Ardersier
1405,Thomas LAMONT,0,Ind,86.0,Culloden and Ardersier
1406,Donnie MACLEOD,0,Grn,149.0,Culloden and Ardersier
1407,Pauline MUNRO,0,SNP,623.0,Culloden and Ardersier
1408,Trish ROBERTSON,1,SLD,592.0,Culloden and Ardersier
1409,Matt WAKELING,0,Lab,215.0,Culloden and Ardersier
1410,Dave ALLISON,0,Ind,53.0,Dingwall and Seaforth
1411,David JARDINE,0,Lab,198.0,Dingwall and Seaforth
1412,Reiner LUYKEN,0,Con,636.0,Dingwall and Seaforth
1413,Graham Alexander MACKENZIE,1,SNP,1267.0,Dingwall and Seaforth
1414,Alister MACKINNON,1,Ind,552.0,Dingwall and Seaforth
1415,Angela MACLEAN,1,SLD,868.0,Dingwall and Seaforth
1416,Margaret PATERSON,1,Ind,853.0,Dingwall and Seaforth
1417,Harry CHRISTIAN,0,SLP,36.0,East Sutherland and Edderton
1418,Richard Gordon GALE,1,SLD,699.0,East Sutherland and Edderton
1419,George GUNN,0,Ind,309.0,East Sutherland and Edderton
1420,Deirdre MACKAY,1,Lab,755.0,East Sutherland and Edderton
1421,Jim MCGILLIVRAY,1,Ind,597.0,East Sutherland and Edderton
1422,Graham PHILLIPS,0,SNP,648.0,East Sutherland and Edderton
1423,Eva SHORT,0,Con,517.0,East Sutherland and Edderton
1424,Campbell DICKSON,0,Ind,216.0,Eilean a' Cheo
1425,John FINLAYSON,1,Ind,1449.0,Eilean a' Cheo
1426,Hamish FRASER,0,Ind,339.0,Eilean a' Cheo
1427,John GORDON,1,Ind,453.0,Eilean a' Cheo
1428,Ronald MACDONALD,1,Ind,717.0,Eilean a' Cheo
1429,CALUM MACLEOD,1,SNP,626.0,Eilean a' Cheo
1430,KEN MACLEOD,0,SLD,97.0,Eilean a' Cheo
1431,MALCOLM MACLEOD,0,Con,319.0,Eilean a' Cheo
1432,Drew MILLAR,0,Ind,213.0,Eilean a' Cheo
1433,Peter O'DONNGHAILE,0,Lab,98.0,Eilean a' Cheo
1434,Ian RENWICK,0,SNP,310.0,Eilean a' Cheo
1435,Moira Elisobeth SCOBBIE,0,Ind,164.0,Eilean a' Cheo
1436,Blair ALLAN,1,SNP,932.0,Fort William and Ardnamurchan
1437,Andrew Phillip BAXTER,1,Ind,1550.0,Fort William and Ardnamurchan
1438,Trevor Ernest ESCOTT,0,SLD,192.0,Fort William and Ardnamurchan
1439,Joanne Elizabeth MATHESON,0,Ind,177.0,Fort William and Ardnamurchan
1440,Niall MCLEAN,1,SNP,437.0,Fort William and Ardnamurchan
1441,Ian RAMON,1,Con,530.0,Fort William and Ardnamurchan
1442,Sally SEMPLE,0,Lab,344.0,Fort William and Ardnamurchan
1443,Janet CAMPBELL,1,Ind,522.0,Inverness Central
1444,Russell DEACON,0,Grn,208.0,Inverness Central
1445,DONNIE KERR,0,Ind,360.0,Inverness Central
1446,MARGOT KERR,0,SLD,154.0,Inverness Central
1447,Richard LAIRD,1,SNP,1122.0,Inverness Central
1448,Donald MACKENZIE,0,Con,426.0,Inverness Central
1449,Bet MCALLISTER,1,Lab,577.0,Inverness Central
1450,Diane WILKINSON,0,Ind,50.0,Inverness Central
1451,Ian BROWN,1,SNP,738.0,Inverness Millburn
1452,Zosia FRASER,0,Ind,140.0,Inverness Millburn
1453,Jimmy GRAY,1,Lab,1064.0,Inverness Millburn
1454,Jackie HENDRY,0,SNP,452.0,Inverness Millburn
1455,Isabelle MACKENZIE,1,Con,716.0,Inverness Millburn
1456,Anne THOMAS,0,Grn,213.0,Inverness Millburn
1457,John WEST,0,SLD,267.0,Inverness Millburn
1458,Alasdair CHRISTIE,1,SLD,1739.0,Inverness Ness-side
1459,Ron MACWILLIAM,1,SNP,1056.0,Inverness Ness-side
1460,Feargus MURRAY,0,SSP,64.0,Inverness Ness-side
1461,Fraser PARR,0,Lab,377.0,Inverness Ness-side
1462,Jean SLATER,0,Ind,255.0,Inverness Ness-side
1463,Callum SMITH,1,Con,577.0,Inverness Ness-side
1464,Donald Macleod BOYD,0,SC,104.0,Inverness South
1465,Carolyn CADDICK,1,SLD,799.0,Inverness South
1466,Jim CRAWFORD,0,Ind,527.0,Inverness South
1467,Shaun FRASER,0,Lab,387.0,Inverness South
1468,KEN GOWANS,1,SNP,1287.0,Inverness South
1469,MICHELLE GOWANS,0,SNP,376.0,Inverness South
1470,Andrew JARVIE,1,Con,1022.0,Inverness South
1471,Duncan MACPHERSON,1,Ind,583.0,Inverness South
1472,Bill BOYD,1,SNP,722.0,Inverness West
1473,Allan DUFFY,0,Ind,130.0,Inverness West
1474,Adie EGHTEDAR,0,Lab,235.0,Inverness West
1475,Alex GRAHAM,1,SLD,964.0,Inverness West
1476,Cath MACINNES,0,SNP,300.0,Inverness West
1477,Fergus MACKENZIE,0,Con,416.0,Inverness West
1478,Graham ROSS,1,Ind,719.0,Inverness West
1479,Ritchie CUNNINGHAM,0,SLD,369.0,Nairn and Cawdor
1480,Laurie FRASER,1,Ind,694.0,Nairn and Cawdor
1481,Stephen FULLER,0,SNP,586.0,Nairn and Cawdor
1482,Michael GREEN,0,Ind,558.0,Nairn and Cawdor
1483,Tom HEGGIE,1,Ind,1144.0,Nairn and Cawdor
1484,Liz MACDONALD,1,SNP,647.0,Nairn and Cawdor
1485,Andrew MACKINTOSH,0,Lab,147.0,Nairn and Cawdor
1486,Louis MCINTOSH,0,SSP,32.0,Nairn and Cawdor
1487,Paul MCIVOR,0,Ind,310.0,Nairn and Cawdor
1488,Peter SAGGERS,1,Con,816.0,Nairn and Cawdor
1489,Malcolm BANGOR-JONES,0,Ind,311.0,North West and Central Sutherland
1490,Kirsteen CURRIE,1,SNP,556.0,North West and Central Sutherland
1491,Hugh MORRISON,1,Ind,473.0,North West and Central Sutherland
1492,Linda MUNRO,1,SLD,504.0,North West and Central Sutherland
1493,Brendan O'HANRAHAN,0,Ind,52.0,North West and Central Sutherland
1494,Michael SIMPSON,0,Ind,89.0,North West and Central Sutherland
1495,William SINCLAIR,0,Lab,265.0,North West and Central Sutherland
1496,Russell TAYLOR,0,Con,557.0,North West and Central Sutherland
1497,Ron FERGUSON,0,Con,558.0,Tain and Easter Ross
1498,Derek LOUDEN,1,SNP,831.0,Tain and Easter Ross
1499,Alasdair RHIND,0,Ind,569.0,Tain and Easter Ross
1500,Fiona ROBERTSON,1,Ind,708.0,Tain and Easter Ross
1501,Sandra SKINNER,0,Ind,139.0,Tain and Easter Ross
1502,Jamie STONE,1,SLD,679.0,Tain and Easter Ross
1503,Gillian COGHILL,0,Ind,417.0,Thurso and Northwest Caithness
1504,Tommy FARMER,0,Ind,59.0,Thurso and Northwest Caithness
1505,Alexander GLASGOW,0,SLD,198.0,Thurso and Northwest Caithness
1506,Donnie MACKAY,1,Ind,567.0,Thurso and Northwest Caithness
1507,Struan MACKIE,1,Con,901.0,Thurso and Northwest Caithness
1508,Sandra OWSNETT,0,Grn,104.0,Thurso and Northwest Caithness
1509,Matthew REISS,1,Ind,1924.0,Thurso and Northwest Caithness
1510,Karl ROSIE,1,SNP,746.0,Thurso and Northwest Caithness
1511,Roger SAXON,0,Lab,328.0,Thurso and Northwest Caithness
1512,Christopher Alan BIRT,0,Lab,285.0,Wester Ross Strathpeffer and Lochalsh
1513,Biz CAMPBELL,1,Ind,796.0,Wester Ross Strathpeffer and Lochalsh
1514,Ian COCKBURN,1,SNP,859.0,Wester Ross Strathpeffer and Lochalsh
1515,Topher DAWSON,0,Grn,628.0,Wester Ross Strathpeffer and Lochalsh
1516,Richard GREENE,0,Ind,656.0,Wester Ross Strathpeffer and Lochalsh
1517,Alexander MACINNES,0,SNP,608.0,Wester Ross Strathpeffer and Lochalsh
1518,Derek MACLEOD,1,Con,1036.0,Wester Ross Strathpeffer and Lochalsh
1519,Kate STEPHEN,1,SLD,752.0,Wester Ross Strathpeffer and Lochalsh
1520,Raymond BREMNER,1,SNP,549.0,Wick and East Caithness
1521,Bill FERNIE,0,Ind,327.0,Wick and East Caithness
1522,Luke GRAHAM,0,SLD,172.0,Wick and East Caithness
1523,Neil MACDONALD,0,Lab,404.0,Wick and East Caithness
1524,A.I. Willie MACKAY,1,Ind,1046.0,Wick and East Caithness
1525,Linda MALIK,0,Ind,338.0,Wick and East Caithness
1526,Catherine PATTERSON,0,Ind,224.0,Wick and East Caithness
1527,ANDREW SINCLAIR,1,Con,649.0,Wick and East Caithness
1528,NICOLA SINCLAIR,1,Ind,967.0,Wick and East Caithness
1529,Ian Thomas BRYSON,0,Con,276.0,Inverclyde Central
1530,Colin JACKSON,1,Lab,435.0,Inverclyde Central
1531,Michael MCCORMICK,1,Lab,970.0,Inverclyde Central
1532,Jim MCELENY,1,SNP,973.0,Inverclyde Central
1533,Jayne PEBERDY,0,SNP,255.0,Inverclyde Central
1534,Kenny SHEPHERD,0,SLD,85.0,Inverclyde Central
1535,Robbie HENDERSON,0,SLD,63.0,Inverclyde East Central
1536,IAIN D MACLEOD,0,Con,575.0,Inverclyde East Central
1537,JIM MACLEOD,1,SNP,1046.0,Inverclyde East Central
1538,Drew MCKENZIE,1,Ind,470.0,Inverclyde East Central
1539,Robert MORAN,1,Lab,1193.0,Inverclyde East Central
1540,Donna PICKETT,0,SNP,343.0,Inverclyde East Central
1541,Jim BOYLAND,0,Ind,356.0,Inverclyde East
1542,Christopher CURLEY,1,SNP,1194.0,Inverclyde East
1543,Stephen MCCABE,1,Lab,953.0,Inverclyde East
1544,Jacci STOYLE,0,SLD,150.0,Inverclyde East
1545,David WILSON,1,Con,1767.0,Inverclyde East
1546,Martin BRENNAN,1,Lab,1279.0,Inverclyde North
1547,Graeme BROOKS,1,Con,996.0,Inverclyde North
1548,Jim CLOCHERTY,1,Lab,538.0,Inverclyde North
1549,Philomena DONNACHIE,0,SNP,802.0,Inverclyde North
1550,Alasdair HIGGINS,0,SLD,311.0,Inverclyde North
1551,Eddie MCELENY,0,Ind,379.0,Inverclyde North
1552,Elizabeth ROBERTSON,1,SNP,864.0,Inverclyde North
1553,Gerry DORRIAN,1,Lab,784.0,Inverclyde South West
1554,J B HOUSTON,0,Ind,181.0,Inverclyde South West
1555,Dominic William JACK,0,Con,635.0,Inverclyde South West
1556,Innes NELSON,1,SNP,1059.0,Inverclyde South West
1557,Alan NICHOLSON,0,SNP,374.0,Inverclyde South West
1558,Gary PURDON,0,Ind,285.0,Inverclyde South West
1559,Ciano REBECCHI,1,SLD,778.0,Inverclyde South West
1560,John COOKE,0,Ind,106.0,Inverclyde South
1561,John CROWTHER,1,SNP,978.0,Inverclyde South
1562,Anne DUFFY,0,SLD,125.0,Inverclyde South
1563,Vaughan JONES,0,Ind,69.0,Inverclyde South
1564,Agnes MCAULEY,0,SNP,317.0,Inverclyde South
1565,Maureen MCNEIL,0,Con,287.0,Inverclyde South
1566,Tommy MCVEY,1,Ind,532.0,Inverclyde South
1567,Natasha MURPHY,1,Lab,966.0,Inverclyde South
1568,Ronald AHLFELD,1,Ind,2189.0,Inverclyde West
1569,Alan HOLLIDAY,0,Lab,584.0,Inverclyde West
1570,James KELLY,0,Con,510.0,Inverclyde West
1571,Christopher William MCELENY,1,SNP,1163.0,Inverclyde West
1572,Lynne QUINN,1,Ind,199.0,Inverclyde West
1573,Alan TAYLOR,0,UKIP,20.0,Inverclyde West
1574,George WHITE,0,SLD,185.0,Inverclyde West
1575,Dianne ALEXANDER,1,SNP,1203.0,Bonnyrigg
1576,Ian BAXTER,0,Grn,701.0,Bonnyrigg
1577,Colin LAWRIE,0,SNP,617.0,Bonnyrigg
1578,Janet LAY-DOUGLAS,1,Con,1415.0,Bonnyrigg
1579,George MCINTYRE,0,Ind,250.0,Bonnyrigg
1580,Derek MILLIGAN,1,Lab,1901.0,Bonnyrigg
1581,Louie Lorraine MILLIKEN,0,Lab,466.0,Bonnyrigg
1582,Jim BRYANT,0,Ind,248.0,Dalkeith
1583,Colin John CASSIDY,1,SNP,1142.0,Dalkeith
1584,Stephen CURRAN,1,Lab,976.0,Dalkeith
1585,Margot RUSSELL,1,Lab,800.0,Dalkeith
1586,Jill SIMON,0,Grn,168.0,Dalkeith
1587,Robin TRAQUAIR,0,Con,706.0,Dalkeith
1588,Gary YOUNG,0,SNP,158.0,Dalkeith
1589,Helen ARMSTRONG,0,Grn,301.0,Midlothian East
1590,Kenneth James BAIRD,1,SNP,872.0,Midlothian East
1591,Louise D'ARCY-GREIG,0,SNP,609.0,Midlothian East
1592,John HACKETT,1,Lab,1284.0,Midlothian East
1593,Robert HOGG,0,Ind,1064.0,Midlothian East
1594,Peter SMAILL,1,Con,1522.0,Midlothian East
1595,Jason FERRY,0,Ind,478.0,Midlothian South
1596,Cath JOHNSTONE,1,SNP,1067.0,Midlothian South
1597,Jim MUIRHEAD,1,Lab,1218.0,Midlothian South
1598,Kieran MUNRO,1,Con,781.0,Midlothian South
1599,Bryan POTTINGER,0,Lab,464.0,Midlothian South
1600,Ellen SCOTT,0,SNP,658.0,Midlothian South
1601,Malcolm SPAVEN,0,Grn,283.0,Midlothian South
1602,Helen BLACKBURN,0,Grn,468.0,Midlothian West
1603,Stephen BLAIN,0,Lab,612.0,Midlothian West
1604,Andrew COVENTRY,0,Ind,413.0,Midlothian West
1605,Russell IMRIE,1,Lab,684.0,Midlothian West
1606,Ross LAIRD,0,SLD,236.0,Midlothian West
1607,Kelly PARRY,1,SNP,1091.0,Midlothian West
1608,David TEMPLE,0,SNP,581.0,Midlothian West
1609,Pauline WINCHESTER,1,Con,1503.0,Midlothian West
1610,Ken BROWN,0,SLD,425.0,Penicuik
1611,Jim GARRY,0,Grn,329.0,Penicuik
1612,Andrew HARDIE,1,Con,1517.0,Penicuik
1613,Debbi MCCALL,1,SNP,1212.0,Penicuik
1614,Adam MONTGOMERY,1,Lab,1482.0,Penicuik
1615,Joe WALLACE,0,SNP,828.0,Penicuik
1616,Gordon COWIE,1,Ind,673.0,Buckie
1617,Tim EAGLE,1,Con,1060.0,Buckie
1618,Gordon MCDONALD,0,SNP,691.0,Buckie
1619,Sonya WARREN,1,SNP,716.0,Buckie
1620,Billy ADAMS,0,Ind,266.0,Elgin City North
1621,Frank BROWN,1,Con,1181.0,Elgin City North
1622,Sandy COOPER,1,Ind,532.0,Elgin City North
1623,Paula COY,1,SNP,634.0,Elgin City North
1624,Patsy GOWANS,0,SNP,537.0,Elgin City North
1625,Nick TAYLOR,0,Lab,429.0,Elgin City North
1626,John DIVERS,1,Lab,1009.0,Elgin City South
1627,Graham LEADBITTER,1,SNP,1245.0,Elgin City South
1628,Sean MALONE,0,Ind,347.0,Elgin City South
1629,Ray MCLEAN,1,Con,1460.0,Elgin City South
1630,David BREMNER,1,SNP,711.0,Fochabers Lhanbryde
1631,Donald CAMERON,0,SLD,211.0,Fochabers Lhanbryde
1632,Kenneth John GILLESPIE,0,Ind,166.0,Fochabers Lhanbryde
1633,Peter Jonathan HORTON,0,SLD,83.0,Fochabers Lhanbryde
1634,Marc MACRAE,1,Con,1747.0,Fochabers Lhanbryde
1635,Shona MORRISON,1,SNP,682.0,Fochabers Lhanbryde
1636,Sean Murray MORTON,0,Ind,215.0,Fochabers Lhanbryde
1637,Ian TAYLOR,0,Ind,274.0,Fochabers Lhanbryde
1638,George ALEXANDER,1,Ind,981.0,Forres
1639,Lorna CRESWELL,1,Ind,555.0,Forres
1640,Claire FEAVER,1,Con,2094.0,Forres
1641,Jeff HAMILTON,0,Ind,243.0,Forres
1642,Aaron MCLEAN,1,SNP,1389.0,Forres
1643,Terry MONAGHAN,0,Ind,36.0,Forres
1644,Fabio VILLANI,0,Grn,613.0,Forres
1645,James ALLAN,1,Con,1953.0,Heldon and Laich
1646,John COWE,1,Ind,789.0,Heldon and Laich
1647,Ryan John EDWARDS,1,Ind,541.0,Heldon and Laich
1648,James MACKESSACK-LEITCH,0,Grn,240.0,Heldon and Laich
1649,John MITCHELL,0,SLD,116.0,Heldon and Laich
1650,Amy PATIENCE,1,SNP,976.0,Heldon and Laich
1651,Dennis SLATER,0,Ind,527.0,Heldon and Laich
1652,Rob BARSBY,0,Ind,354.0,Keith and Cullen
1653,Theresa Ann COULL,1,SNP,1088.0,Keith and Cullen
1654,Donald GATT,1,Con,1208.0,Keith and Cullen
1655,Iain Michael GRIEVE,0,SNP,375.0,Keith and Cullen
1656,Ron SHEPHERD,1,Ind,665.0,Keith and Cullen
1657,Angus ANDERSON,0,SNP,698.0,Speyside Glenlivet
1658,Louise Margaret LAING,1,SNP,776.0,Speyside Glenlivet
1659,Derek ROSS,1,Ind,858.0,Speyside Glenlivet
1660,Walter WILSON,1,Con,1307.0,Speyside Glenlivet
1661,Gordon ALLISON,0,NFMU,238.0,Ardrossan and Arran
1662,Timothy BILLINGS,1,Con,1309.0,Ardrossan and Arran
1663,Tony GURNEY,1,SNP,930.0,Ardrossan and Arran
1664,John HUNTER,0,Ind,503.0,Ardrossan and Arran
1665,Clare MCGUIRE,0,Lab,659.0,Ardrossan and Arran
1666,Ellen MCMASTER,1,SNP,932.0,Ardrossan and Arran
1667,Colin TURBETT,0,Ind,165.0,Ardrossan and Arran
1668,Robert BARR,1,Ind,990.0,Dalry and West Kilbride
1669,Joy BRAHIM,1,SNP,1219.0,Dalry and West Kilbride
1670,Todd FERGUSON,1,Con,1137.0,Dalry and West Kilbride
1671,Kay HALL,0,Ind,599.0,Dalry and West Kilbride
1672,Elizabeth MCLARDY,0,Ind,418.0,Dalry and West Kilbride
1673,Paul REID,0,Lab,432.0,Dalry and West Kilbride
1674,John WILLIS,0,Ind,27.0,Dalry and West Kilbride
1675,Sheena WOODSIDE,0,Ind,301.0,Dalry and West Kilbride
1676,Marie BURNS,1,SNP,1334.0,Irvine East
1677,Ross COLLINS,0,Grn,150.0,Irvine East
1678,John EASDALE,1,Lab,646.0,Irvine East
1679,Irene OLDFATHER,0,Lab,536.0,Irvine East
1680,Angela STEPHEN,1,Con,1065.0,Irvine East
1681,Hugh WILSON,0,SNP,254.0,Irvine East
1682,Robert FOSTER,1,Lab,676.0,Irvine South
1683,Margaret GEORGE,1,Con,720.0,Irvine South
1684,Audrey HYND-GAW,0,Ind,68.0,Irvine South
1685,Ian KERR,0,TUSC,42.0,Irvine South
1686,Christina LARSEN,1,SNP,733.0,Irvine South
1687,David O'NEILL,0,Lab,437.0,Irvine South
1688,Robin STURGEON,0,SNP,681.0,Irvine South
1689,Ian CLARKSON,1,Lab,1249.0,Irvine West
1690,Bobby COCHRANE,0,SL,76.0,Irvine West
1691,Andrew CRAIG,0,Grn,96.0,Irvine West
1692,Scott GALLACHER,1,Con,1025.0,Irvine West
1693,Maria LIMONCI,0,SNP,707.0,Irvine West
1694,Shaun MACAULAY,1,SNP,914.0,Irvine West
1695,Louise MCPHATER,1,Lab,438.0,Irvine West
1696,John BELL,1,Lab,925.0,Kilbirnie and Beith
1697,Anthea DICKSON,1,SNP,1057.0,Kilbirnie and Beith
1698,Margaret JOHNSON,0,SNP,574.0,Kilbirnie and Beith
1699,Ted NEVILL,0,Con,705.0,Kilbirnie and Beith
1700,Donald L REID,1,Ind,1053.0,Kilbirnie and Beith
